epoch,train_loss,train_acc,val_acc,elapsed,model_file
84,2.0748,58.39,0,577,mvit_acc_58.39_20251019_220634.pth
85,2.0373,59.05,0,577.8,mvit_acc_59.05_20251019_221612.pth
86,1.9378,61,0,577.1,mvit_acc_61.00_20251019_222549.pth
87,1.9063,61.63,0,576.9,mvit_acc_61.63_20251019_223526.pth
88,1.9116,62.24,0,578.3,mvit_acc_62.24_20251019_224505.pth
89,1.8248,63.52,0,577.8,mvit_acc_63.52_20251019_225443.pth
90,1.7626,64.54,3.21,574.8,mvit_acc_64.54_20251019_230623.pth
91,1.7768,64.98,0,578.5,mvit_acc_64.98_20251019_231601.pth
92,1.7434,65.52,0,574.7,mvit_acc_65.52_20251019_232536.pth
93,1.7206,65.89,0,576.8,mvit_acc_65.89_20251019_233514.pth
94,1.6717,66.75,0,578.6,mvit_acc_66.75_20251019_234452.pth
95,1.6643,67.58,0,576.6,mvit_acc_67.58_20251019_235429.pth
96,1.6539,67.5,0,578.9,mvit_acc_67.50_20251020_000408.pth
97,1.6446,67.88,0,579.4,mvit_acc_67.88_20251020_001348.pth
98,1.5909,68.88,0,576.7,mvit_acc_68.88_20251020_002325.pth
99,1.6048,68.92,0,580.1,mvit_acc_68.88_20251020_002325.pth
100,1.5716,68.84,3.19,574.7,mvit_acc_68.84_20251020_004444.pth
101,1.5262,69.69,0,576.4,mvit_acc_69.69_20251020_005421.pth
102,1.5613,69.04,0,577.4,mvit_acc_69.69_20251020_005421.pth
103,1.5233,69.83,0,578.3,mvit_acc_69.83_20251020_011337.pth
104,1.5316,70.06,0,578.5,mvit_acc_70.06_20251020_012316.pth
105,1.5094,70.13,0,577,mvit_acc_70.13_20251020_013253.pth
106,1.5011,70.48,0,579.7,mvit_acc_70.48_20251020_014233.pth
107,1.4903,71.14,0,575.4,mvit_acc_71.14_20251020_015209.pth
108,1.477,70.88,0,580.1,mvit_acc_70.88_20251020_020149.pth
109,1.4826,71.13,0,578.7,mvit_acc_71.13_20251020_021128.pth
110,1.4437,71.23,3.19,579.4,mvit_acc_71.23_20251020_022310.pth
111,1.4485,71.59,0,579.5,mvit_acc_71.59_20251020_023250.pth
112,1.4296,71.34,0,577.9,mvit_acc_71.34_20251020_024228.pth
113,1.4398,72.04,0,576,mvit_acc_72.04_20251020_025205.pth
114,1.4469,71.23,0,576.8,mvit_acc_72.04_20251020_025205.pth
115,1.4219,71.64,0,575.9,mvit_acc_71.64_20251020_031117.pth
116,1.3937,73.04,0,576.8,mvit_acc_73.04_20251020_032054.pth
117,1.412,72.54,0,576.5,mvit_acc_73.04_20251020_032054.pth
118,1.4219,71.66,0,579.1,mvit_acc_73.04_20251020_032054.pth
119,1.4073,72.14,0,578.7,mvit_acc_73.04_20251020_032054.pth
