epoch,model,train_acc,val_acc,loss,epoch_time_sec,checkpoint
1,cnn_lstm,32.98948013481769,59.36067827681027,2.4889548054000548,148.43,cnn_lstm_59.36_20251012_233355.pth
2,cnn_lstm,67.22372587069758,78.9757103574702,1.378726529826695,143.95,cnn_lstm_78.98_20251012_233620.pth
3,cnn_lstm,80.35951383924012,85.93033913840513,0.8624588467288025,143.32,cnn_lstm_85.93_20251012_233845.pth
4,cnn_lstm,86.83229496476356,90.91429880843263,0.5940840986353082,143.22,cnn_lstm_90.91_20251012_234110.pth
5,cnn_lstm,90.82831171484015,92.79330889092576,0.43164579317501794,144.77,cnn_lstm_92.79_20251012_234336.pth
6,cnn_lstm,93.25400878357675,94.8327222731439,0.32518838899223984,143.29,cnn_lstm_94.83_20251012_234601.pth
7,cnn_lstm,94.76304769686446,97.04399633363886,0.2554486678893641,143.12,cnn_lstm_97.04_20251012_234825.pth
8,cnn_lstm,95.84056786845062,97.41063244729605,0.2066499212660301,144.54,cnn_lstm_97.41_20251012_235051.pth
9,cnn_lstm,96.70998876519252,98.14390467461045,0.16819411417264493,144.78,cnn_lstm_98.14_20251012_235316.pth
10,cnn_lstm,97.38663057910325,98.40742438130155,0.13983087337683053,143.0,cnn_lstm_98.41_20251012_235541.pth
11,cnn_lstm,97.75431518741702,98.54491292392301,0.11774710480577673,144.1,cnn_lstm_98.54_20251012_235807.pth
12,cnn_lstm,98.15647022776018,98.99175068744272,0.10060446187754889,143.39,cnn_lstm_98.99_20251013_000032.pth
13,cnn_lstm,98.4322336839955,99.12923923006416,0.08597681932733453,144.78,cnn_lstm_99.13_20251013_000258.pth
14,cnn_lstm,98.67480339086917,98.95737855178736,0.07430694674929016,144.93,cnn_lstm_99.13_20251013_000258.pth
15,cnn_lstm,98.79353487897048,99.28964252978919,0.06562505955335593,143.31,cnn_lstm_99.29_20251013_000746.pth
16,cnn_lstm,98.97099376978858,99.30109990834097,0.058034558303653436,143.22,cnn_lstm_99.30_20251013_001011.pth
17,cnn_lstm,99.08078847921561,99.20944087992667,0.050603184393968444,144.74,cnn_lstm_99.30_20251013_001011.pth
18,cnn_lstm,99.18675314063937,99.28964252978919,0.04498349210558821,143.28,cnn_lstm_99.30_20251013_001011.pth
19,cnn_lstm,99.29782453273414,99.32401466544455,0.03985728969231146,143.42,cnn_lstm_99.32_20251013_001724.pth
